,,a,,,b,,,N,,,,,,,
1,N,R,2,N,R,7,N,R,halt,,pick up whatever symbol we find at the start,,,,"go to the appropriate ""copying"" subroutine"
2,a,R,2,b,R,2,N,R,3,,copy a subroutine,,,,
3,a,R,3,b,R,3,a,R,4,,'',,,,
4,,,,,,,a,L,5,,'',,,,
5,a,L,5,b,L,5,N,L,6,,go back to the input,,,,
6,a,L,6,b,L,6,N,R,1,,'',,,,
7,a,R,7,b,R,7,N,R,8,,copy b subroutine,,,,
8,a,R,8,b,R,8,b,R,9,,'',,,,
9,,,,,,,b,L,5,,'',,,,
,,,,,,,,,,,,,,,
,this machine (easy),,,,,a more complicated example,,,,,,,,,
,ab,aabb,,,,ab,abab,,,,,,,,
,abb,aabbbb,,,,abb,abbabb,,,,,,,,
